estLocus,Nomen,Textus,LEMMA,LOCI NOMEN,AETATIS CITE URN,ANNOTATOR INITIALS,CTS URN,SEQUENCE,NČ OP.
estlocus4,Peneia,Hęc laurus quondam uirgo Peneia Daphne,Peneius,Alphe(i)os (river),09903,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text1.body.div4.l1.w5,1057635,*nisam sigurna
estlocus1,Olympo,Signifero forsan nunquam premeretur Olympo,Olympus,sky (celestial dome),09903,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text1.body.div40.l1.w5,1060427,
estlocus4,Castalidas,"Castalidas uiolare meas fuge, si sapis; his qui",Castalis,Castalian spring,09903,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text1.body.div46.l1.w1,1060834,
estlocus4,Chirona,"In scopulos Chirona tibi fuge, nauita, uersum:",Chiron,Skeironiakai Petrai,00001,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text1.body.div48.l1.w3,1060978,
estlocus4,Sithonia,Hęc patriam pretio Sithonia uendidit Arne:,Sithonius,Sithone,09904,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text1.body.div49.l1.w4,1061070,
estlocus4,Attica,"Fata secat, Minos Attica regna capit.",Atticus,Attica,09904,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text1.body.div54.l2.w4,1061488,
estlocus1,Labyrinthus,"Perplexum Labyrinthus iter, uarius Minotaurus.",Labyrinthus,Labyrinth,09904,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text1.body.div56.l1.w2,1061600,
estlocus2,Icarię,Improbus Icarię nomina fecit aquę.,Icarius,Ikarion Mare,09904,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text1.body.div58.l2.w2,1061779,
estlocus4,Cinthia,"Cinthia, Proethidem quid curuo confodis arcu?",Cynthia,Kynthos M. ,09904,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text1.body.div61.l1.w1,1062004,09903 ili 09904*
estlocus1,Herebi,Dux Herebi Pluton superas peruenit ad auras,Herebus,Erebus,09903,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text1.body.div62.l1.w2,1062088,
estlocus1,Pade,"Phoetontis miseri fueramus, Pade, sorores.",Padus,Padus/Eridanus (river),09903,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text1.body.div9.l1.w4,1058068,
estlocus1,Pade,"Nunc populi ripę, maxime Pade, tuę.",Padus,Padus/Eridanus (river),09903,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text1.body.div9.l2.w5,1058104,
estlocus3,Parthenope,"»Ducta est Parthenope si tibi, uiue Senis!«",Parthenope,Parthenope/Neapolis,12214,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text11.body.div.sp4.l2.w3,1124579,
estlocus1,Senis,"»Ducta est Parthenope si tibi, uiue Senis!«",Senae,Saena,12214,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text11.body.div.sp4.l2.w7,1124599,
estlocus2,Valle,[1.] Franciscus Natalis Marco Marulo in Valle Surda commoranti,vallis,Nečujam,12214,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text12.body.div1.head.w7,1124670,
estlocus2,Surda,[1.] Franciscus Natalis Marco Marulo in Valle Surda commoranti,surdus,Nečujam,12214,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text12.body.div1.head.w8,1124675,
estlocus2,Spalatensi,Nam modo qui fueras Spalatensi solus in urbe,Spalatensis,Spalatum,12214,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text12.body.div1.l33.w5,1125734,
estlocus4,Turchicus,"Egredere e muris, nihil est nisi Turchicus horror,",Turchicus,Ottoman Empire,38000,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text12.body.div1.l41.w7,1126002,
estlocus4,Pieriis,"Pręmia, Pieriis digna referre modis.",Pierius,Pierian Mountains,09903,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text12.body.div1.l6.w2,1124833,
estlocus2,Ęonidum,Ęonidum poteras sollicitare nemus.,Aonis,Aonia,09903,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text12.body.div2.l34.w1,1128173,
estlocus4,Occeano,"Occeano fluctus, frondes cur frondibus addo,",Oceanus,ocean,00000,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text12.body.div2.l37.w1,1128258,Outiside time*
estlocus1,Creta,"Taurum, Creta, tuum tellus Argiua recępit",Creta,Creta (island),09904,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text2.body.div2.l11.w2,1062909,Do retka 41 Heraklovi zadatci
estlocus2,Argiua,"Taurum, Creta, tuum tellus Argiua recępit",Argivus,Ancient Greece,09904,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text2.body.div2.l11.w5,1062925,
estlocus0,Amazonidum,"Agmina Amazonidum peltis fugere relictis,",Amazonis,,,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text2.body.div2.l17.w2,1063086,Estlocus0 delete*
estlocus4,Hesperidum,Mactato Hesperidum carpuntur poma dracone,Hesperides,Hesperidum Horti,09904,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text2.body.div2.l19.w2,1063136,
estlocus1,Achelous,Victus Achelous propriis caput intulit undis,Achelous,Achelous (river),09904,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text2.body.div2.l31.w2,1063435,
estlocus1,Oechalię,Oechalię regno fidens Euritus – ab illo,Oechalia,Oechalia,09904,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text2.body.div2.l35.w1,1063544,
estlocus2,Nemeę,"Illo autore perit Nemeę leo bellua siluę,",Nemeaeus,Nemea,09904,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text2.body.div2.l5.w4,1062736,
estlocus4,Erimanthei,Ipsa Erimanthei feritas elanguit apri,Erymantheus,Erymanthos M.,09904,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text2.body.div2.l7.w2,1062795,
estlocus4,Stymphalidas,"Stymphalidas domat arcus aues tinnitus et ęris,",Stymphalis,Stymphalos,09904,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text2.body.div2.l9.w1,1062839,
estlocus2,Tragurinę,Supra portam urbis Tragurinę,Tragurinus,Tragurium,12214,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text2.body.div5.head.w4,1064192,
estlocus0,Domni,"Hęc sunt templa tibi, Domni, data: Iuppiter absit —",Domnius,,,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text2.body.div8.l1.w5,1064551,estlocus0 delete*
estlocus4,Ariminensium,Ad Ioannem Asclepianum poetam de eius Ariminea in qua Robertum Ariminensium ducem Latium Achillem appellant,Ariminensis,Ariminum,12214,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text3.body.div1.head.w11,1064773,
estlocus4,Latium,Ad Ioannem Asclepianum poetam de eius Ariminea in qua Robertum Ariminensium ducem Latium Achillem appellat,Latius,Latium,12214,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text3.body.div1.head.w13,1064782,
estlocus4,Ariminea,Ad Ioannem Asclepianum poetam de eius Ariminea in qua Robertum Ariminensium ducem Latium Achillem appellat,Ariminea,Ariminum,12214,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text3.body.div1.head.w7,1064756,
estlocus4,Latiumque,Pyerios cantus Latiumque sonantia plectra,Latius,Latium,12214,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text3.body.div1.l1.w3,1064805,
estlocus4,Phlegreę,"Sic, puto, Phlegreę referens certamina pugnę",Phlegraeus,Pallene/Phlegra,09903,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text3.body.div1.l5.w3,1064916,
estlocus4,Cinthius,Increpuit resonam Cinthius ipse lyram,Cynthius,Kynthos M.,09903,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text3.body.div1.l6.w3,1064943,
estlocus1,Thebe,Thebe Amphioniam laudet ametque lyram;,Thebe,Thebai/Thebae,09904,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text3.body.div12.l2.w1,1068648,
estlocus0,Amphioniam,Thebe Amphioniam laudet ametque lyram;,Amphionius,,,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text3.body.div12.l2.w2,1068653,estlocus0 delete*
estlocus1,Metimna,Hoc Metimna super sydera cuncta ferat.,Methymna,Methymna,38001,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text3.body.div12.l4.w2,1068712,
estlocus2,Spalatinę,Gloria non leuior Spalatinę contigit urbi:,Spalatinus,Spalatum,12214,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text3.body.div12.l5.w4,1068750,
estlocus1,Cyrrhę,Sed licet aut sacrę faueant mihi numina Cyrrhę,Cyrrha,Cyrrhus/Hagioupolis,09903,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text3.body.div15.l11.w8,1069838,Ovo u stvari drugi locus?* 
estlocus1,Nysę,"Siue colit Nysę qui iuga celsa deus,",Nysa,Nysa,09903,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text3.body.div15.l12.w3,1069852,
estlocus4,Aonię,Cingent Aonię lauro tua tempora Musę,Aonius,Aonia,09903,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text3.body.div16.l5.w2,1070070,Ovo su olimpske Muze
estlocus2,Castaliis,Ter quoque Castaliis illa rigauit aquis.,Castalius,Castalian spring,09903,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text3.body.div3.l4.w3,1065404,
estlocus4,Siculo,Ędis iam Siculo carmina digna sene.,Siculus,Sicilia (island),38002,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text3.body.div3.l6.w3,1065470,
estlocus4,Aoniam,Aoniam flabis forsan et ipse tubam,Aonius,Aonia,09903,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text3.body.div3.l8.w1,1065525,
estlocus4,Aonię,"Hieronyme, Aonię quanuis nouus incola siluę,",Aonius,Aonia,09903,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text3.body.div4.l1.w2,1065768,Aonski gaj iz mitološkog ili Marulićeva vremena?*
estlocus2,Icarię,Ne forte Icarię fabula dicar aquę.,Icarius,Ikarion Mare,09904,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text3.body.div4.l10.w3,1066072,
estlocus4,Lycio,Et solues Lycio debita uota deo;,Lycius,Lykia,09903,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text3.body.div5.l4.w3,1066332,Apolon kao olimpski bog
estlocus2,Aonii,Aonii superes culmina summa iugi.,Aonius,Aonia,09903,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text3.body.div6.l10.w1,1066971,
estlocus4,Pierioque,Vatibus antiquis Pierioque choro.,Pierius,Pierian Mountains,09903,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text3.body.div6.l8.w3,1066918,
estlocus2,Pierii,"Vsque ad Pierii culmina, Chrance, iugi.",Pierius,Pierian Mountains,09903,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text3.body.div7.l6.w3,1067240,
estlocus4,Pharensem,Ad Caterinum poetam Pharensem,Pharensis,Pharus Ins.,12214,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text3.body.div9.head.w4,1067985,
estlocus4,Pyeridumque,Et tibi dii faueant Pyeridumque cohors!,Pieris,Pierian Mountains,09903,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text3.body.div9.l14.w5,1068385,
estlocus4,Cinthius,Non negat argutam Cinthius ipse lyram.,Cynthius,Kynthos M.,09903,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text3.body.div9.l4.w4,1068091,
estlocus4,Hybleis,Qualia ab Hybleis roscida mella fauis.,Hyblaeus,Hyblaei Colles,00001,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text3.body.div9.l6.w3,1068147,Od prvog spomena kod Vergilija do danas*
estlocus1,Pharos,Gaudeat ista quidem tua nobilis insula Pharos,Pharos,Pharus Ins.,12214,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text3.body.div9.l9.w7,1068248,
estlocus1,Pisas,"De uirtute animique pręstantia Dominici Manlipetri, Venetę classis pręfecti, cum Pisas obsedione liberauit iuuitque frumento",Pisae,Pisae,12214,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text4.body.div1.head.w11,1070336,
estlocus4,Venetę,"De uirtute animique pręstantia Dominici Manlipetri, Venetę classis pręfecti, cum Pisas obsedione liberauit iuuitque frumento",Venetus,Venice,12214,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text4.body.div1.head.w7,1070316,
estlocus1,Pisa,"Pisa, Fluentinę quę multo tempore genti",Pisa,Pisae,12214,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text4.body.div1.l1.w1,1070359,
estlocus4,Fluentinę,"Pisa, Fluentinę quę multo tempore genti",Fluentinus,Florentia,12214,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text4.body.div1.l1.w2,1070367,
estlocus1,Pisa,"Huic geminum debes (nec fallor), Pisa, triumphum:",Pisa,Pisae,12214,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text4.body.div1.l17.w6,1070857,
estlocus4,Venetum,Gaude! Nam Venetum tibi parta potentibus armis,Veneti,Venice,12214,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text4.body.div1.l3.w3,1070426,
estlocus4,Indis,"Libertas auro, gemmis quoque charior Indis",Indus,India,00001,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text4.body.div1.l5.w6,1070497,Ili outside time?*
estlocus4,Venetorum,Ad inclytum uirum Andream Grittum Venetorum principem bene meritum nuperrime creatum,Veneti,Venice,12214,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text4.body.div10.head.w6,1074267,
estlocus4,Venetę,Vt pręsis Venetę prospiciasque rei.,Venetus,Venice,12214,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text4.body.div10.l4.w3,1074388,
estlocus4,Veneti,Nam Veneti imperii summa est in sede locatus,Venetus,Venice,12214,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text4.body.div11.l13.w2,1074963,
estlocus4,Itacensis,Prouidus ingenio dux Itacensis erat.,Ithacensis,Ithaca Ins.,09905,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text4.body.div11.l2.w4,1074657,
estlocus4,Venetorum,Quod omnia prospera sperare liceat Andrea Gritto Venetorum principe,Veneti,Venice,12214,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text4.body.div12.head.w8,1075102,
estlocus3,Venetis,Spirabit faciles Venetis pater Eolus auras,Veneti,Venice,12214,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text4.body.div12.l1.w3,1075121,
estlocus4,Venetum,Et Venetum domitus uiribus orbis erit.,Veneti,Venice,12214,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text4.body.div12.l8.w2,1075301,
estlocus1,Olympi,Annuet his magni magnus regnator Olympi,Olympus,sky (celestial dome),11111,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text4.body.div12.l9.w6,1075347,Bog vječni?*
estlocus4,Fluentinos,Prima Fluentinos inter habenda uiros.,Fluentinus,Florentia,12214,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text4.body.div13.l4.w2,1075569,
estlocus4,Germane,"Quo, Cęsar Germane, ruis?",Germanus,Holy Roman Empire,38004,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text4.body.div2.sp1.l.w3,1070953,
estlocus4,Latina,Peto regna Latina.,Latinus,Latium,12214,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text4.body.div2.sp2.l.w3,1070992,
estlocus3,Venetos,"Vade, sed in Venetos arma mouere caue.",Veneti,Venice,12214,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text4.body.div2.sp3.l.w4,1071030,
estlocus4,Hiberi,Toracis tegmen Hiberi,Hiberus,Spanish Empire,38005,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text4.body.div2.sp5.l1.w3,1071109,
estlocus4,Galli,Et Galli cristas pignus amoris habent.,Gallus,Kingdom of France,38006,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text4.body.div2.sp5.l2.w2,1071120,
estlocus2,Tiberinę,Ast mecum est pręsul Tiberinę Iulius urbis.,Tiberinus,Tiberis (river),12214,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text4.body.div2.sp6.l.w5,1071175,
estlocus3,Venetis,"Huic fidis, Venetis qui dedit ipse togam?",Veneti,Venice,12214,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text4.body.div2.sp7.l.w3,1071217,
estlocus4,Florentino,De Leone X. Pontifice Maximo Florentino de Medicum familia,Florentinus,Florentia,12214,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text4.body.div3.head.w6,1071423,
estlocus2,Italo,Ergo Italo Mauors quę uulnera contulit orbi,Italus,Italia,12214,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text4.body.div4.l11.w2,1072008,
estlocus2,Latiis,Tale nefas Latiis admisit Iulius oris,Latius,Latium,12214,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text4.body.div4.l5.w3,1071839,
estlocus3,Gallus,Gallus et Hispanus bella cruenta gerunt.,Gallus,Kingdom of France,38006,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text4.body.div7.l2.w1,1073232,
estlocus3,Hispanus,Gallus et Hispanus bella cruenta gerunt.,Hispanus,Spanish Empire,38005,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text4.body.div7.l2.w3,1073241,
estlocus1,Spalati,Domino Ioanni Baptistę de Molino Spalati prętori bene merito,Spalatum,Spalatum,12214,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text4.body.div9.head.w6,1073970,Split je uvijek Renesansa Italija 12214
estlocus4,Aonias,Pamphagus Aonias iussit adesse deas.,Aonius,Aonia,09903,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text5.body.div1.l2.w2,1076498,
estlocus4,Pieris,Sed neque sic pranso Pieris ulla fauet.,Pieris,Pierian Mountains,09903,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text5.body.div1.l6.w5,1076616,
estlocus4,Illyricum,Ad Bartholum Illyricum,Illyricus,Illyricum,38007,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text5.body.div13.head.w3,1078358,Ovdje mi trebaju godine do 1524. Nategnuta datacija*
estlocus2,Lybici,Et quot sunt Lybici maris lapilli,Libycus,Libycum Mare,00000,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text5.body.div14.l6.w4,1078671,*
estlocus4,Spalatensem,"In Dominum Bartholomeum Aueroldum, episcopum Spalatensem",Spalatensis,Spalatum,12214,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text5.body.div22.head.w6,1079767,
estlocus4,Aquinas,Atque olim Iuuenalis ipse Aquinas,Aquinas,Aquinum,38008,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text5.body.div23.l3.w5,1079905,
estlocus2,Cyrrheo,Cędite Cyrrheo nascentes uertice lauri,Cyrrhaeus,Cyrrhus/Hagiupolis,09903,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text5.body.div24.l1.w2,1080013,Izmijeniti identifikaciju?*
estlocus2,Pyerium,"Pyerium nemus omne meę concede Myricę,",Pierius,Pierian Mountains,09903,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text5.body.div24.l3.w1,1080057,
estlocus2,Castalios,Et prope Castalios iam sedet illa lacus.,Castalius,Castalian spring,09903,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text5.body.div24.l6.w3,1080154,
estlocus4,Aonias,Et capit Aonias tam noua forma deas.,Aonius,Aonia,09903,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text5.body.div24.l8.w3,1080210,
estlocus1,Heliconis,Siue desertis Heliconis undis,Helicon,Helicon M.,09903,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text5.body.div25.l19.w3,1080766,
estlocus1,Heliconis,Quid Phoebum Musasque uocas Heliconis ab antro,Helicon,Helicon M. ,09903,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text5.body.div4.l1.w5,1076912,
estlocus4,Pyerium,Pyerium quotiens scribere sumis opus?,Pierius,Pierian Mountains,09903,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text5.body.div4.l2.w1,1076927,
estlocus1,Tempe,Hęc illis iocunda domus: non Tempe lacusque,Tempe,Tempe,09903,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text5.body.div4.l5.w6,1077038,
estlocus2,Bellorophonteos,Bellorophonteos plus pia turba colit.,Bellorophonteus,Hippocrene,09903,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text5.body.div4.l6.w1,1077049,
estlocus4,Dalmaticum,"Xarcus, Dalmaticum gloria prima ducum.",Dalmaticus,Dalmatia,12214,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text6.body.div15.l4.w2,1085827,Ova Dalmatia je Renesansa Italy*
estlocus4,Turcarum,Turcarum rigido fugare Marte.,Turcae,Ottoman Empire,38000,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text6.body.div16.l3.w1,1086028,
estlocus4,Turcarum,"Epitaphium Ottomani, Turcarum imperatoris",Turcae,Ottoman Empire,38000,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text6.body.div18.head.w3,1086336,
estlocus1,Arar,"Cuius sensit Arar, cuius certamina Tygris,",Arar,Arar (river),11111,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text6.body.div18.l1.w3,1086355,U smislu Zapad.*
estlocus1,Tygris,"Cuius sensit Arar, cuius certamina Tygris,",Tigris,Tigris/Diglitus (river),11111,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text6.body.div18.l1.w6,1086371,U smislu Istok.*
estlocus4,Venetorum,"Epitaphium Leonardi Lauredani, inclyti Venetorum principis",Veneti,Venice,12214,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text6.body.div19.head.w5,1086554,
estlocus4,Spalatensis,Epitaphium Luxę de Bilsa Spalatensis,Spalatensis,Spalatum,12214,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text6.body.div21.head.w5,1086968,
estlocus4,Spalatensis,Epitaphium Hieronymi de Lucaris Spalatensis,Spalatensis,Spalatum,12214,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text6.body.div23.head.w5,1087339,
estlocus4,Graię,"Et Latię et Graię callebat Palladis artes,",Graius,Ancient Greece,00001,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text6.body.div25.l9.w4,1088182,***
estlocus2,Phlegetontei,Ad Phlegetontei stagna profunda lacus.,Phlegethonteus,Phlegethon,00001,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text6.body.div4.l2.w2,1083312,Od kad je nastao pa do danas (smisao: pakao).*
estlocus4,Tyrio,"Possidet hanc Tyrio uelatus Luxus amictu,",Tyrius,Tyrus/Col. Septimia Severa,00001,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text6.body.div4.l3.w3,1083342,Od antike do danas.*
estlocus4,Spalatenses,Ad nobiles Spalatenses,Spalatensis,Spalatum,12214,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text6.body.div5.head.w3,1083813,
estlocus2,Valle,Francisco Natali Marci Maruli in Valle Surda commorantis responsio,vallis,Nečujam,12214,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text7.body.div1.head.w6,1088830,
estlocus2,Surda,Francisco Natali Marci Maruli in Valle Surda commorantis responsio,surdus,Nečujam,12214,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text7.body.div1.head.w7,1088835,
estlocus4,Samnitum,Et qua contentus Samnitum sperneret aurum,Samnites,Samnium,38009,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text7.body.div1.l27.w4,1089601,
estlocus2,Pegasis,Deseruitque meam Pegasis unda sitim.,Pegasis,Hippocrene,09903,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text7.body.div2.l20.w3,1092061,
estlocus4,Getulos,"Illa etiam Getulos uicit feritate leones,",Gaetulus,Getulia,00001,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text7.body.div3.l13.w3,1092716,Od rimske književnosti do danas?*
estlocus4,Hyrcanas,Vicit et Hyrcanas asperitate tygres.,Hyrcanus,Varkana/Hyrcania/Gurgan,00001,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text7.body.div3.l14.w3,1092746,Od rimske književnosti do danas?*
estlocus4,Gargaphiam,Gargaphiam uidit qui sine ueste deam!,Gargaphius,Gargaphia,09003,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text7.body.div3.l18.w1,1092872,To je Artemida
